,nombreVoluntario,serviciosDisponibles,estrellas,opinion,nombreMiembro,fotoMiembro
827,Haydée Torralba,"['Amigos y Ocio', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Dan Mascaró,perfil_6mh.png
828,Iker Catalán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Edgardo Cantero,perfil_7mh.png
829,Loreto Suárez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Cristina Gisbert,perfil_8mm.png
830,Jose Carlos Ramírez,"['Amigos y Ocio', 'Burocracia']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Asdrubal Pozuelo,perfil_12mh.png
831,Goyo Busquets,"['Salud', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Nieves Sedano,perfil_4mh.png
832,Cleto Rosa,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,No es muy habladora,Tito Ortega,perfil_7mh.png
833,Paulino Roda,['Amigos y Ocio'],3,Gracias,Rosalinda Bonilla,perfil_12mh.png
834,Segismundo Solera,"['El día a día', 'Servicios del Municipio']",1,El día podría haber estado mejor,Buenaventura Artigas,perfil_14mm.png
835,Rosario Balaguer,['Servicios del Municipio'],4,No hubiera podido está más feliz,Vilma Sala,perfil_13mm.png
836,Ignacia Cabello,['El día a día'],4,No puedo estar más agradecida,Sigfrido Aller,perfil_1mm.png
837,Benjamín Quevedo,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Clarisa Cortes,perfil_10mh.png
838,Luisa Nicolau,"['Amigos y Ocio', 'El día a día', 'Burocracia']",2,Ha llegado tarde,Alicia Camino,perfil_7mh.png
839,Nereida Canales,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Jennifer Borrego,perfil_9mm.png
840,Jose Ramón Feliu,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",3,Bien,Lázaro Bustos,perfil_9mm.png
841,Goyo Sanabria,"['Salud', 'Burocracia', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Catalina Colom,perfil_9mm.png
842,Enrique Español,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Enrique Collado,perfil_9mm.png
843,León Sevillano,"['Nuevas Tecnologías', 'Burocracia']",1,No pudo ayudarme,Francisco Palma,perfil_14mm.png
844,Josep Benet,"['Nuevas Tecnologías', 'Salud', 'El día a día']",2,No sabía lo que le pedía,Maite Pino,perfil_8mm.png
845,Venceslás Cabañas,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Ligia Tormo,perfil_13mm.png
846,Aureliano Alcolea,"['Nuevas Tecnologías', 'Salud']",2,Puede mejorar,Purificación Moraleda,perfil_10mh.png
847,Ciro Guzmán,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",3,Ha podido ayudarme en algunas cosas,David Suarez,perfil_14mm.png
848,Flavio Ramos,"['Nuevas Tecnologías', 'Amigos y Ocio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Yaiza Lucena,perfil_13mm.png
849,Amalia Teruel,['Amigos y Ocio'],5,No hubiera podido estar más feliz,Javi Olivé,perfil_6mh.png
850,Ignacio Quero,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",1,No habla mucho,Jenaro Arana,perfil_12mh.png
851,Vanesa Cózar,"['Salud', 'Burocracia']",5,Fue un día estupendo,Yolanda Alcaraz,perfil_10mh.png
852,Reynaldo Abril,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Jafet Velázquez,perfil_14mm.png
853,Rosario Lara,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Daniel Borrell,perfil_7mh.png
854,Ángeles Sanz,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Edgardo Soria,perfil_4mh.png
855,Lucho Torrecilla,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Evangelina Azorin,perfil_7mh.png
856,Fabián Falcó,"['Nuevas Tecnologías', 'Amigos y Ocio']",5,"Gracias, ha sido toda una experiencia",Malena Tejera,perfil_14mm.png
857,Manu Gelabert,"['Salud', 'Burocracia']",5,No hubiera podido estar más feliz,Pancho Vicens,perfil_1mm.png
858,Bautista Barrera,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Albina Frutos,perfil_8mm.png
859,Mariana Mir,"['El día a día', 'Burocracia', 'Servicios del Municipio']",3,Un día agradable,América Asenjo,perfil_12mh.png
860,Baudelio Ayllón,"['El día a día', 'Burocracia']",3,Gracias,Vanesa Velasco,perfil_4mh.png
861,Daniela Tapia,['Amigos y Ocio'],2,Está normal,Dionisia Jaén,perfil_12mh.png
862,Ani Criado,"['Salud', 'Amigos y Ocio']",5,Encantado con toda la ayuda que he recibido,Amor Zamora,perfil_10mh.png
863,Baudelio Verdejo,"['Amigos y Ocio', 'Servicios del Municipio']",5,Fue un día estupendo,Odalys Campillo,perfil_8mm.png
864,Cecilio Estevez,['Amigos y Ocio'],1,No habla mucho,Jennifer Espejo,perfil_8mm.png
865,Bruno Bayo,"['Salud', 'El día a día', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Aníbal Guerrero,perfil_12mh.png
866,Imelda Gutierrez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,Fue un día estupendo,Abigaíl Alba,perfil_13mm.png
867,Sancho Carretero,['El día a día'],1,No me arregló los papeles,Danilo Pedraza,perfil_10mh.png
868,Tania Hoz,"['Nuevas Tecnologías', 'Amigos y Ocio']",3,Bien,Silvia Montesinos,perfil_9mm.png
869,Cristina Ariño,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,Ha llegado tarde,Dimas Calleja,perfil_7mh.png
870,Estefanía Bilbao,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,Tuvo muy poca paciencia,Mariano Mayol,perfil_6mh.png
871,Simón Yáñez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Ha podido ayudarme en algunas cosas,Socorro Río,perfil_7mh.png
872,Maximiano Julián,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,"Bueno, podría mejorar",Estela Fernandez,perfil_6mh.png
873,Hernando Miralles,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,Llegó tarde,Máximo Borja,perfil_1mm.png
874,Jorge Priego,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",2,Ha llegado tarde,Faustino Novoa,perfil_4mh.png
875,Eleuterio Marín,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,No me arregló los papeles,Edelmira Corral,perfil_1mm.png
876,Zacarías Molina,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Gregorio Roda,perfil_14mm.png
877,Úrsula Belmonte,"['El día a día', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Ceferino Miró,perfil_4mh.png
878,Agapito Sedano,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No es muy habladora,Elisabet Miralles,perfil_6mh.png
879,Ester Cabo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",3,Un día agradable,Julio Corominas,perfil_14mm.png
880,Candelario Garcés,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Griselda Cano,perfil_12mh.png
881,Antonia Cazorla,"['Amigos y Ocio', 'El día a día']",3,Ha estado bien,Vicente Alcázar,perfil_14mm.png
882,Paco Bayona,"['Salud', 'Burocracia']",1,No sabía lo que le pedía,Hernando Vives,perfil_6mh.png
883,Serafina Hidalgo,"['Salud', 'Burocracia', 'Servicios del Municipio']",2,Ha llegado tarde,Fermín Sureda,perfil_8mm.png
884,Rafael López,"['Salud', 'Burocracia', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Manuelita Arnal,perfil_7mh.png
885,Fausto Ríos,"['Salud', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,Perla Ordóñez,perfil_13mm.png
886,Perla Mate,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Adrián Blanco,perfil_13mm.png
887,Emma Ángel,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,No hubiera podido está más feliz,Anastasia Barrera,perfil_4mh.png
888,Adán Marí,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,Puede mejorar,Teodoro Pizarro,perfil_4mh.png
889,Gracia Calleja,"['Amigos y Ocio', 'Servicios del Municipio']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Fabián Ferreras,perfil_14mm.png
890,Selena Cañizares,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,No me entendía,Tristán Escribano,perfil_9mm.png
891,Juan Luis Carlos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",2,Es amable aunque no divertida,Hernando Larrañaga,perfil_8mm.png
892,Tania Campo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",5,Encantado con toda la ayuda que he recibido,José Luis Gelabert,perfil_9mm.png
893,Manuelita Lladó,"['Amigos y Ocio', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Lázaro Páez,perfil_14mm.png
894,Lope Galvez,"['Amigos y Ocio', 'Burocracia']",4,No hubiera podido está más feliz,Valeria Pou,perfil_13mm.png
895,Liliana Novoa,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Juan Bautista Múgica,perfil_12mh.png
896,Herminio Laguna,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",2,El servicio no estuvo mal,Amaro Larrea,perfil_9mm.png
897,Anselma Torres,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",1,No pudo ayudarme,Jose Angel Echeverría,perfil_10mh.png
898,José Azcona,['El día a día'],3,Ha estado muy bien,Baldomero Ricart,perfil_9mm.png
899,Cirino Lloret,['Burocracia'],4,Es un encanto y me ayudó a hablar con mis nietos,Ciro Carretero,perfil_6mh.png
900,Arsenio Acevedo,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",2,El servicio no estuvo mal,Fortunato Pellicer,perfil_13mm.png
901,Nazario Castrillo,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",5,Sin duda seguiré utilizando este servicio,Iker Villegas,perfil_4mh.png
902,Febe Juárez,"['Nuevas Tecnologías', 'Salud', 'El día a día']",1,No pudo ayudarme,Jorge Quintanilla,perfil_14mm.png
903,Felix Sala,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,Está normal,Alfredo Soler,perfil_14mm.png
904,Carmen Roma,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,Tuvo muy poca paciencia,Pili Navas,perfil_13mm.png
905,Chelo Agustí,['Servicios del Municipio'],5,Sin duda seguiré utilizando este servicio,Aníbal Landa,perfil_8mm.png
906,Dani Company,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Ha estado muy bien,Andrea Benavente,perfil_10mh.png
907,Caridad Araujo,"['El día a día', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,Pelayo Arnaiz,perfil_1mm.png
908,Perlita Peiró,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",3,Ha estado muy bien,Gabriela Jordá,perfil_4mh.png
909,Dafne Colomer,"['Amigos y Ocio', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Maura Seco,perfil_1mm.png
910,Tito Castell,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Gracias,Coral Malo,perfil_7mh.png
911,Ariel Mendez,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No me ayudó nada,Bibiana Puga,perfil_6mh.png
912,Pánfilo Pallarès,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",4,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Prudencio Morata,perfil_14mm.png
913,Humberto Iborra,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",1,No es muy habladora,Fausto Cases,perfil_9mm.png
914,Griselda Calderon,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Bien,Malena Nieto,perfil_4mh.png
915,Paulino Cortes,['El día a día'],3,Me acompañó en lo que necesitaba,Ana Pulido,perfil_10mh.png
916,Ángela Cámara,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",4,No hubiera podido está más feliz,Esmeralda Real,perfil_1mm.png
917,Nereida Elorza,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Jose Manuel Valera,perfil_13mm.png
918,Socorro Revilla,"['Amigos y Ocio', 'El día a día', 'Burocracia']",5,No puedo estar más agradecida,Marcela Cabanillas,perfil_10mh.png
919,Amador Escobar,"['Amigos y Ocio', 'Burocracia']",1,No habla mucho,Bernarda Galván,perfil_12mh.png
920,Maite Márquez,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me ayudó mucho en casa,Gabriel Benítez,perfil_7mh.png
921,Micaela Requena,"['Salud', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Jose Luis Berrocal,perfil_9mm.png
922,Nidia Hurtado,"['Salud', 'Burocracia']",5,Es un encanto y me ayudó a hablar con mis nietos,Alejo Losada,perfil_9mm.png
923,Juanito Campoy,['Amigos y Ocio'],1,No me arregló los papeles,Perlita Tolosa,perfil_7mh.png
924,Roberto Arias,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,No me entendía,Isidoro Naranjo,perfil_1mm.png
925,Rosa María Sosa,"['Salud', 'Amigos y Ocio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Santos Arroyo,perfil_9mm.png
926,Iván Flores,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",4,Fue un día estupendo,Dulce Llano,perfil_6mh.png
927,Olga Seguí,"['Nuevas Tecnologías', 'Salud']",3,Un día agradable,Alba Núñez,perfil_10mh.png
928,Pancho Mayoral,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia']",2,Está normal,Jenny Belmonte,perfil_8mm.png
929,Otilia Gisbert,"['El día a día', 'Burocracia', 'Servicios del Municipio']",1,No habla mucho,Araceli Maestre,perfil_12mh.png
930,Amado Ferrando,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",4,No puedo estar más agradecida,Rosalva Cuadrado,perfil_10mh.png
931,Sabas Moya,"['Nuevas Tecnologías', 'El día a día']",2,No terminó de ayudarme,Reinaldo Mendizábal,perfil_8mm.png
932,León Lorenzo,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",5,Qué bien que pudo ayudarme con mis papeles,Joaquín Ariño,perfil_10mh.png
933,Pascual Vergara,['Burocracia'],2,Está normal,Adalberto Leon,perfil_9mm.png
934,Salomón Muñoz,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,Es un encanto y me ayudó a hablar con mis nietos,Ceferino Cabeza,perfil_14mm.png
935,Amaro Arenas,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",1,No me ayudó nada,Palmira Tello,perfil_7mh.png
936,César Rovira,"['Salud', 'El día a día', 'Servicios del Municipio']",5,No hubiera podido estar más feliz,Berta Lobo,perfil_7mh.png
937,Onofre Rubio,['El día a día'],2,Está normal,Mamen Arnau,perfil_7mh.png
938,Eloísa Vidal,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Ha estado muy bien,Ana Sofía Merino,perfil_13mm.png
939,David Plaza,"['Amigos y Ocio', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Germán Boix,perfil_9mm.png
940,Trinidad Falcón,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,No terminó de ayudarme,Cipriano Trujillo,perfil_8mm.png
941,José Manuel Arregui,"['Nuevas Tecnologías', 'Servicios del Municipio']",2,Está normal,Encarna Ávila,perfil_4mh.png
942,Leandra Abellán,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",2,No terminó de ayudarme,Che Cortés,perfil_12mh.png
943,Aurora Figueras,"['Salud', 'Burocracia', 'Servicios del Municipio']",1,No es muy habladora,Santiago Prats,perfil_12mh.png
944,Prudencio Rosado,"['Salud', 'Amigos y Ocio']",4,No hubiera podido está más feliz,Natanael Ramos,perfil_7mh.png
945,Buenaventura Mas,"['Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Galo Roura,perfil_9mm.png
946,Anunciación Mendoza,"['Salud', 'Amigos y Ocio']",3,Gran dia,Primitiva Bernat,perfil_9mm.png
947,Griselda Real,"['Salud', 'El día a día']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Vinicio Pedrosa,perfil_13mm.png
948,Nacho Marqués,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,El día podría haber estado mejor,Sonia Abellán,perfil_1mm.png
949,Casandra Castejón,"['Nuevas Tecnologías', 'Salud', 'El día a día']",4,Fue un día estupendo,Luis Agustí,perfil_6mh.png
950,Gregorio Rivero,"['El día a día', 'Burocracia']",2,Está normal,Virgilio Madrigal,perfil_13mm.png
951,Graciana Pinilla,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,No sabía lo que le pedía,Octavia Figuerola,perfil_7mh.png
952,Inés Dávila,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",1,Tuvo muy poca paciencia,Narcisa Samper,perfil_7mh.png
953,Encarnación Mascaró,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",2,Puede mejorar,Amaya Álvaro,perfil_6mh.png
954,Santiago Abad,"['El día a día', 'Burocracia', 'Servicios del Municipio']",3,Es muy amable,Raquel Casas,perfil_6mh.png
955,Marco Madrid,['Salud'],4,Es un encanto y me ayudó a hablar con mis nietos,Ainara Fuertes,perfil_7mh.png
956,Humberto Ropero,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",5,Qué bien que pudo ayudarme con mis papeles,Pacífica Macías,perfil_7mh.png
957,Mireia Montserrat,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Me acompañó en lo que necesitaba,Roque Agullo,perfil_9mm.png
958,Adela Salamanca,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No hubiera podido está más feliz,Amador Quero,perfil_4mh.png
959,Imelda García,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",3,Ha estado bien,Susana Herrero,perfil_8mm.png
960,Ariadna Sáenz,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",4,No puedo estar más agradecida,Eric Sáenz,perfil_9mm.png
961,Nadia Doménech,"['Nuevas Tecnologías', 'Amigos y Ocio']",4,No hubiera podido está más feliz,Piedad Duran,perfil_8mm.png
962,Genoveva Blazquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",4,Fue un día estupendo,Sebastián Mendoza,perfil_7mh.png
963,Loreto Villalba,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",5,Fue un día estupendo,Manu Zamorano,perfil_13mm.png
964,Gracia Naranjo,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",2,El servicio no estuvo mal,Rita Pont,perfil_4mh.png
965,Ciro Menéndez,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",5,Me ayudó mucho en casa,Rodrigo Porcel,perfil_1mm.png
966,Jafet Colom,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,Ha llegado tarde,Coral Carmona,perfil_12mh.png
967,Amador Arteaga,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Celestina Antón,perfil_14mm.png
968,Jose Ignacio Beltran,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",2,Es amable aunque no divertida,Arcelia Almagro,perfil_10mh.png
969,Xavier Ribas,"['Nuevas Tecnologías', 'Salud']",5,Es un encanto y me ayudó a hablar con mis nietos,Apolonia Roman,perfil_4mh.png
970,Soraya Ferreras,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",5,No hubiera podido estar más feliz,Roldán Piña,perfil_12mh.png
971,Lina Plana,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Ismael Carballo,perfil_6mh.png
972,Ana Belén Pulido,"['Salud', 'Amigos y Ocio']",1,No me ayudó nada,Carlito Godoy,perfil_10mh.png
973,Jose Francisco Coloma,"['Nuevas Tecnologías', 'Salud']",3,Un día agradable,Herminia Lastra,perfil_13mm.png
974,Gabriela Adán,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",5,Es un encanto y me ayudó a hablar con mis nietos,Martín Cánovas,perfil_8mm.png
975,Teodora Campillo,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,No me ayudó nada,Teresa Tejedor,perfil_12mh.png
976,Melania Rodríguez,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",2,No terminó de ayudarme,Encarna Oliveras,perfil_12mh.png
977,Isidoro Echeverría,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",2,No terminó de ayudarme,Pancho Raya,perfil_8mm.png
978,Nilda Villaverde,"['Salud', 'Servicios del Municipio']",4,Es un encanto y me ayudó a hablar con mis nietos,León Benavent,perfil_12mh.png
979,Abril Ibañez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",4,Fue un día estupendo,Telmo Guerra,perfil_10mh.png
980,Yéssica Carrión,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",5,"Es un sol, me ayudó a desbloquear el móvil y lo arregló",Palmira Pombo,perfil_9mm.png
981,Yago Cañellas,"['Salud', 'Amigos y Ocio']",4,Es un encanto y me ayudó a hablar con mis nietos,Aarón Manso,perfil_13mm.png
982,Nicolasa Sobrino,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",4,No hubiera podido está más feliz,Candela Aragón,perfil_8mm.png
983,Guadalupe Molins,['Nuevas Tecnologías'],2,No sabía lo que le pedía,Fanny Peralta,perfil_10mh.png
984,Marisol Salas,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,No es muy habladora,Marta Tenorio,perfil_10mh.png
985,Emperatriz Vargas,['Burocracia'],3,Me lo he pasado bien,Sergio Iñiguez,perfil_12mh.png
986,Teodosio Salmerón,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",2,"Bueno, podría mejorar",Urbano Cervera,perfil_6mh.png
987,Teófila Cuenca,['Burocracia'],4,Fue un día estupendo,Julia Urrutia,perfil_14mm.png
988,Mar Taboada,"['Nuevas Tecnologías', 'Amigos y Ocio']",3,Bien,Estrella Palomar,perfil_10mh.png
989,Vinicio Jove,['Burocracia'],2,Está normal,Lupe Alberdi,perfil_12mh.png
990,Maricruz Huertas,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",4,No hubiera podido está más feliz,Carmelo Posada,perfil_12mh.png
991,Priscila Lluch,"['Amigos y Ocio', 'Burocracia']",4,No hubiera podido está más feliz,Donato Vélez,perfil_6mh.png
992,María Dolores Vázquez,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,Llegó tarde,Natalia Pujol,perfil_14mm.png
993,Amada Haro,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",5,"Gracias, ha sido toda una experiencia",Sofía Gallego,perfil_6mh.png
994,Leonardo Sabater,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Gisela Cuéllar,perfil_8mm.png
995,Casemiro Macias,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",5,Encantado con toda la ayuda que he recibido,Julián Bru,perfil_14mm.png
996,Joel Llabrés,"['Amigos y Ocio', 'El día a día', 'Burocracia']",3,Es muy amable,Belén Ocaña,perfil_1mm.png
997,Nico Montenegro,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",2,No ha podido ayudarme en lo que necesitaba,Vanesa Amigó,perfil_7mh.png
998,Teodora Berrocal,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",3,Me ha ayudado en lo que le he pedido,Xiomara Franch,perfil_12mh.png
999,Emiliano Contreras,"['Amigos y Ocio', 'Burocracia']",1,Llegó tarde,Odalis Mármol,perfil_6mh.png
1000,Jerónimo Piñol,['El día a día'],1,Al final tuvo que irse antes,Margarita Hoyos,perfil_12mh.png
1001,Joaquina Corominas,"['El día a día', 'Burocracia', 'Servicios del Municipio']",5,No puedo estar más agradecida,Consuelo Marquez,perfil_4mh.png
1002,Lara Gargallo,"['Nuevas Tecnologías', 'Salud', 'El día a día']",4,Fue un día estupendo,Aura Madrid,perfil_8mm.png
1003,Bernardo Ribera,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",4,Fue un día estupendo,Maxi Montes,perfil_4mh.png
1004,Saturnino Muro,"['Nuevas Tecnologías', 'Servicios del Municipio']",3,Me ha resuelto muchas dudas,Matías Lara,perfil_10mh.png
1005,Candela Solano,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,No me ayudó nada,Cristian Crespo,perfil_9mm.png
1006,Severo Barrios,"['Nuevas Tecnologías', 'Amigos y Ocio']",4,Es un encanto y me ayudó a hablar con mis nietos,Guadalupe Mercader,perfil_6mh.png
1007,Hilario Rivera,"['Salud', 'El día a día']",3,Ha estado muy bien,Vasco Vera,perfil_9mm.png
1008,Roque Aller,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",4,No puedo estar más agradecida,Fabiana Guijarro,perfil_14mm.png
